archivo,fecha,hora,nombre,prueba
1_estilo_bloques.xlsx,2026-10-01,10:45,Marcos T,1
1_estilo_bloques.xlsx,2026-10-01,21:00,Irene P,0
1_estilo_bloques.xlsx,2026-10-01,09:30,Hugo S,0
1_estilo_bloques.xlsx,2026-10-01,18:30,Lucia B,1
1_estilo_bloques.xlsx,2026-10-01,21:00,Nerea L,0
1_estilo_bloques.xlsx,2026-10-01,10:45,Sara M,0
1_estilo_bloques.xlsx,2026-10-01,18:30,Marcos T,0
1_estilo_bloques.xlsx,2026-10-01,19:45,Carla F,0
1_estilo_bloques.xlsx,2026-10-01,21:00,Pablo R,0
1_estilo_bloques.xlsx,2026-10-01,10:45,Carla F,0
1_estilo_bloques.xlsx,2026-10-01,19:45,Oscar N,0
1_estilo_bloques.xlsx,2026-10-01,10:45,Mario Z,0
1_estilo_bloques.xlsx,2026-10-01,18:30,Daniel O,0
1_estilo_bloques.xlsx,2026-10-01,19:45,Irene P,0
1_estilo_bloques.xlsx,2026-10-02,19:45,Lucia B,0
1_estilo_bloques.xlsx,2026-10-02,10:45,Sara M,0
1_estilo_bloques.xlsx,2026-10-02,18:30,Lucia B,0
1_estilo_bloques.xlsx,2026-10-02,19:45,Lucia B,0
1_estilo_bloques.xlsx,2026-10-02,09:30,Oscar N,0
1_estilo_bloques.xlsx,2026-10-02,10:45,Pablo R,0
1_estilo_bloques.xlsx,2026-10-02,18:30,Pablo R,1
1_estilo_bloques.xlsx,2026-10-02,19:45,Laura G,1
1_estilo_bloques.xlsx,2026-10-02,10:45,Marcos T,0
1_estilo_bloques.xlsx,2026-10-02,09:30,Adrian K,0
1_estilo_bloques.xlsx,2026-10-02,10:45,Sara M,0
1_estilo_bloques.xlsx,2026-10-02,19:45,Nerea L,0
1_estilo_bloques.xlsx,2026-10-05,10:45,Alba D,0
1_estilo_bloques.xlsx,2026-10-05,18:30,Hugo S,0
1_estilo_bloques.xlsx,2026-10-05,19:45,Adrian K,0
1_estilo_bloques.xlsx,2026-10-05,09:30,Ivan C,0
1_estilo_bloques.xlsx,2026-10-05,18:30,Mario Z,0
1_estilo_bloques.xlsx,2026-10-05,19:45,Irene P,0
1_estilo_bloques.xlsx,2026-10-05,21:00,Ivan C,0
1_estilo_bloques.xlsx,2026-10-05,09:30,Pablo R,0
1_estilo_bloques.xlsx,2026-10-05,18:30,Pablo R,0
1_estilo_bloques.xlsx,2026-10-05,19:45,Elena J,0
1_estilo_bloques.xlsx,2026-10-05,09:30,Sara M,0
1_estilo_bloques.xlsx,2026-10-05,10:45,Daniel O,0
1_estilo_bloques.xlsx,2026-10-05,18:30,Pablo R,0
1_estilo_bloques.xlsx,2026-10-05,19:45,Laura G,0
1_estilo_bloques.xlsx,2026-10-06,19:45,Ivan C,0
1_estilo_bloques.xlsx,2026-10-06,21:00,Lucia B,0
1_estilo_bloques.xlsx,2026-10-06,09:30,Nerea L,1
1_estilo_bloques.xlsx,2026-10-06,18:30,Adrian K,0
1_estilo_bloques.xlsx,2026-10-06,19:45,Nerea L,1
1_estilo_bloques.xlsx,2026-10-06,10:45,Sara M,0
1_estilo_bloques.xlsx,2026-10-06,18:30,Ruben V,0
1_estilo_bloques.xlsx,2026-10-06,19:45,Mario Z,0
2_semana_tabla.xlsx,2026-10-05,09:30,Elena J,0
2_semana_tabla.xlsx,2026-10-05,09:30,Oscar N,0
2_semana_tabla.xlsx,2026-10-05,09:30,Nerea L,1
2_semana_tabla.xlsx,2026-10-06,09:30,Laura G,0
2_semana_tabla.xlsx,2026-10-07,09:30,Nerea L,0
2_semana_tabla.xlsx,2026-10-05,12:00,Elena J,0
2_semana_tabla.xlsx,2026-10-05,12:00,Mario Z,0
2_semana_tabla.xlsx,2026-10-07,12:00,Sara M,0
2_semana_tabla.xlsx,2026-10-08,12:00,Mario Z,0
2_semana_tabla.xlsx,2026-10-08,12:00,Laura G,0
2_semana_tabla.xlsx,2026-10-08,12:00,Irene P,0
2_semana_tabla.xlsx,2026-10-09,12:00,Alba D,0
2_semana_tabla.xlsx,2026-10-05,17:15,Elena J,0
2_semana_tabla.xlsx,2026-10-05,17:15,Pablo R,0
2_semana_tabla.xlsx,2026-10-05,17:15,Alba D,0
2_semana_tabla.xlsx,2026-10-06,17:15,Oscar N,0
2_semana_tabla.xlsx,2026-10-07,17:15,Irene P,0
2_semana_tabla.xlsx,2026-10-07,17:15,Pablo R,0
2_semana_tabla.xlsx,2026-10-09,17:15,Daniel O,0
2_semana_tabla.xlsx,2026-10-05,18:30,Pablo R,0
2_semana_tabla.xlsx,2026-10-05,18:30,Hugo S,0
2_semana_tabla.xlsx,2026-10-05,18:30,Lucia B,0
2_semana_tabla.xlsx,2026-10-06,18:30,Oscar N,0
2_semana_tabla.xlsx,2026-10-07,18:30,Oscar N,0
2_semana_tabla.xlsx,2026-10-07,18:30,Sara M,1
2_semana_tabla.xlsx,2026-10-09,18:30,Mario Z,0
2_semana_tabla.xlsx,2026-10-09,18:30,Paula E,1
2_semana_tabla.xlsx,2026-10-05,20:00,Elena J,1
2_semana_tabla.xlsx,2026-10-05,20:00,Irene P,0
2_semana_tabla.xlsx,2026-10-08,20:00,Alba D,0
2_semana_tabla.xlsx,2026-10-08,20:00,Marcos T,0
2_semana_tabla.xlsx,2026-10-09,20:00,Alba D,0
2_semana_tabla.xlsx,2026-10-09,20:00,Lucia B,0
2_semana_tabla.xlsx,2026-10-09,20:00,Nerea L,0
3_lista_simple.xlsx,2026-10-02,18:30,Ivan C,0
3_lista_simple.xlsx,2026-10-01,09:30,Irene P,0
3_lista_simple.xlsx,2026-10-05,09:30,Laura G,0
3_lista_simple.xlsx,2026-10-10,10:45,Elena J,0
3_lista_simple.xlsx,2026-10-05,09:30,Sara M,0
3_lista_simple.xlsx,2026-10-05,19:45,Ivan C,0
3_lista_simple.xlsx,2026-10-01,09:30,Elena J,0
3_lista_simple.xlsx,2026-10-04,19:45,Oscar N,0
3_lista_simple.xlsx,2026-10-12,10:45,Carla F,0
3_lista_simple.xlsx,2026-10-06,09:30,Laura G,1
3_lista_simple.xlsx,2026-10-07,10:45,Irene P,0
3_lista_simple.xlsx,2026-10-10,10:45,Ruben V,1
