archivo,hoja,fila,col,valor,etiqueta
1_estilo_bloques.xlsx,OCTUBRE 26,1,1,JUEVES 1,dia
1_estilo_bloques.xlsx,OCTUBRE 26,3,2,09:30,hora
1_estilo_bloques.xlsx,OCTUBRE 26,3,3,10:45,hora
1_estilo_bloques.xlsx,OCTUBRE 26,3,4,18:30,hora
1_estilo_bloques.xlsx,OCTUBRE 26,3,5,19:45,hora
1_estilo_bloques.xlsx,OCTUBRE 26,3,6,21:00,hora
1_estilo_bloques.xlsx,OCTUBRE 26,4,3,Marcos T cp,prueba
1_estilo_bloques.xlsx,OCTUBRE 26,4,6,1. Irene P,nombre
1_estilo_bloques.xlsx,OCTUBRE 26,6,2,Hugo S,nombre
1_estilo_bloques.xlsx,OCTUBRE 26,6,4,(CP) Lucia B,prueba
1_estilo_bloques.xlsx,OCTUBRE 26,6,6,Nerea L,nombre
1_estilo_bloques.xlsx,OCTUBRE 26,7,3,Sara M,nombre
1_estilo_bloques.xlsx,OCTUBRE 26,7,4,3. Marcos T,nombre
1_estilo_bloques.xlsx,OCTUBRE 26,7,5,Carla F,nombre
1_estilo_bloques.xlsx,OCTUBRE 26,7,6,Pablo R,nombre
1_estilo_bloques.xlsx,OCTUBRE 26,9,3,4. Carla F,nombre
1_estilo_bloques.xlsx,OCTUBRE 26,9,5,4. Oscar N,nombre
1_estilo_bloques.xlsx,OCTUBRE 26,10,3,Mario Z,nombre
1_estilo_bloques.xlsx,OCTUBRE 26,10,4,Daniel O,nombre
1_estilo_bloques.xlsx,OCTUBRE 26,10,5,5. Irene P,nombre
1_estilo_bloques.xlsx,OCTUBRE 26,13,1,Viernes 2 oct,dia
1_estilo_bloques.xlsx,OCTUBRE 26,15,2,09:30,hora
1_estilo_bloques.xlsx,OCTUBRE 26,15,3,10:45,hora
1_estilo_bloques.xlsx,OCTUBRE 26,15,4,18:30,hora
1_estilo_bloques.xlsx,OCTUBRE 26,15,5,19:45,hora
1_estilo_bloques.xlsx,OCTUBRE 26,15,6,21:00,hora
1_estilo_bloques.xlsx,OCTUBRE 26,16,5,1. Lucia B,nombre
1_estilo_bloques.xlsx,OCTUBRE 26,17,3,2. Sara M,nombre
1_estilo_bloques.xlsx,OCTUBRE 26,17,4,2. Lucia B,nombre
1_estilo_bloques.xlsx,OCTUBRE 26,17,5,Lucia B,nombre
1_estilo_bloques.xlsx,OCTUBRE 26,18,2,Oscar N,nombre
1_estilo_bloques.xlsx,OCTUBRE 26,18,3,3. Pablo R,nombre
1_estilo_bloques.xlsx,OCTUBRE 26,18,4,Pablo R CP,prueba
1_estilo_bloques.xlsx,OCTUBRE 26,18,5,(CP) Laura G,prueba
1_estilo_bloques.xlsx,OCTUBRE 26,19,3,Marcos T,nombre
1_estilo_bloques.xlsx,OCTUBRE 26,20,2,5. Adrian K,nombre
1_estilo_bloques.xlsx,OCTUBRE 26,20,3,5. Sara M,nombre
1_estilo_bloques.xlsx,OCTUBRE 26,20,5,Nerea L,nombre
1_estilo_bloques.xlsx,OCTUBRE 26,23,1,LUNES 5,dia
1_estilo_bloques.xlsx,OCTUBRE 26,25,2,09:30,hora
1_estilo_bloques.xlsx,OCTUBRE 26,25,3,10:45,hora
1_estilo_bloques.xlsx,OCTUBRE 26,25,4,18:30,hora
