archivo,nombre_completo,mes,fecha_pago,importe,metodo
listas/L06_pagos_por_meses_1.xlsx,Jorge Moreno Fernández,2026-03,,65,
listas/L06_pagos_por_meses_1.xlsx,Jorge Moreno Fernández,2026-04,,65,
listas/L06_pagos_por_meses_1.xlsx,Jorge Moreno Fernández,2026-05,,65,
listas/L06_pagos_por_meses_1.xlsx,Jorge Moreno Fernández,2026-06,,65,
listas/L06_pagos_por_meses_1.xlsx,Jorge Moreno Fernández,2026-07,,65,
listas/L06_pagos_por_meses_1.xlsx,Jorge Moreno Fernández,2026-08,,65,
listas/L06_pagos_por_meses_1.xlsx,Jorge Moreno Fernández,2026-09,,65,
listas/L06_pagos_por_meses_1.xlsx,Rubén Blanco Castro,2026-01,,40,
listas/L06_pagos_por_meses_1.xlsx,Rubén Blanco Castro,2026-02,,40,
listas/L06_pagos_por_meses_1.xlsx,Rubén Blanco Castro,2026-03,,40,
listas/L06_pagos_por_meses_1.xlsx,Rubén Blanco Castro,2026-04,,40,
listas/L06_pagos_por_meses_1.xlsx,Rubén Blanco Castro,2026-05,,40,
listas/L06_pagos_por_meses_1.xlsx,Rubén Blanco Castro,2026-06,,40,
listas/L06_pagos_por_meses_1.xlsx,Rubén Blanco Castro,2026-07,,40,
listas/L06_pagos_por_meses_1.xlsx,Rubén Blanco Castro,2026-08,,40,
listas/L06_pagos_por_meses_1.xlsx,Rubén Blanco Castro,2026-09,,40,
listas/L06_pagos_por_meses_1.xlsx,Óscar Gil Fernández,2026-04,,45,
listas/L06_pagos_por_meses_1.xlsx,Óscar Gil Fernández,2026-05,,45,
listas/L06_pagos_por_meses_1.xlsx,Óscar Gil Fernández,2026-06,,45,
listas/L06_pagos_por_meses_1.xlsx,Óscar Gil Fernández,2026-08,,45,
listas/L06_pagos_por_meses_1.xlsx,Óscar Gil Fernández,2026-09,,45,
listas/L06_pagos_por_meses_1.xlsx,Laura Gómez Alonso,2026-03,,45,
listas/L06_pagos_por_meses_1.xlsx,Laura Gómez Alonso,2026-05,,45,
listas/L06_pagos_por_meses_1.xlsx,Laura Gómez Alonso,2026-06,,45,
listas/L06_pagos_por_meses_1.xlsx,Laura Gómez Alonso,2026-07,,45,
listas/L06_pagos_por_meses_1.xlsx,Laura Gómez Alonso,2026-08,,45,
listas/L06_pagos_por_meses_1.xlsx,Laura Gómez Alonso,2026-09,,45,
listas/L06_pagos_por_meses_1.xlsx,Beatriz Ruiz Serrano,2026-08,,40,
listas/L06_pagos_por_meses_1.xlsx,Claudia Vázquez Ortiz,2026-05,,55,
listas/L06_pagos_por_meses_1.xlsx,Claudia Vázquez Ortiz,2026-07,,55,
listas/L06_pagos_por_meses_1.xlsx,Claudia Vázquez Ortiz,2026-08,,55,
listas/L06_pagos_por_meses_1.xlsx,Claudia Vázquez Ortiz,2026-09,,55,
listas/L06_pagos_por_meses_1.xlsx,Martina Vázquez Castro,2026-07,,60,
listas/L06_pagos_por_meses_1.xlsx,Martina Vázquez Castro,2026-08,,60,
listas/L06_pagos_por_meses_1.xlsx,Martina Vázquez Castro,2026-09,,60,
listas/L06_pagos_por_meses_1.xlsx,Álvaro Martínez García,2026-08,,35,
listas/L06_pagos_por_meses_1.xlsx,Hugo López Domínguez,2026-07,,65,
listas/L06_pagos_por_meses_1.xlsx,Hugo López Domínguez,2026-08,,65,
listas/L06_pagos_por_meses_1.xlsx,Hugo López Domínguez,2026-09,,65,
listas/L06_pagos_por_meses_1.xlsx,Rubén Gómez López,2026-08,,50,
listas/L06_pagos_por_meses_1.xlsx,Rubén Gómez López,2026-09,,50,
listas/L06_pagos_por_meses_1.xlsx,Irene López Ruiz,2026-01,,55,
listas/L06_pagos_por_meses_1.xlsx,Irene López Ruiz,2026-02,,55,
