archivo,fecha,hora,nombre,prueba
cuadriculas/G01_bloques_1.xlsx,2026-09-01,10:45,Martina G.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-01,21:00,Noelia G.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-01,17:15,Inés L.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-01,21:00,Mario L.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-02,10:45,Álvaro F.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-02,21:00,Íker L.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-02,10:45,Íker L.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-02,21:00,Tomás F.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-02,21:00,Víctor L.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-02,17:15,Adrián M.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-02,17:15,Claudia G.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-02,21:00,Marcos L.,1
cuadriculas/G01_bloques_1.xlsx,2026-09-03,17:15,Paula M.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-03,21:00,Martina G.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-03,10:45,Marcos G.,1
cuadriculas/G01_bloques_1.xlsx,2026-09-03,17:15,Noelia M.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-03,21:00,Jorge F.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-03,17:15,Iván F.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-03,17:15,Daniel G.,1
cuadriculas/G01_bloques_1.xlsx,2026-09-03,21:00,Víctor M.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-03,10:45,Álvaro L.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-03,21:00,Gonzalo L.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-04,21:00,Nerea M.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-04,17:15,Íker L.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-04,10:45,Inés F.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-04,21:00,Adrián G.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-04,17:15,Laura L.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-04,21:00,Iván F.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-05,10:45,Sara G.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-05,17:15,Tomás M.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-05,10:45,Sara G.,1
cuadriculas/G01_bloques_1.xlsx,2026-09-05,17:15,Adrián G.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-05,10:45,Andrea L.,1
cuadriculas/G01_bloques_1.xlsx,2026-09-07,17:15,Víctor L.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-07,10:45,Nuria L.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-07,17:15,Andrea L.,1
cuadriculas/G01_bloques_1.xlsx,2026-09-07,10:45,Bruno G.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-07,17:15,Carla L.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-08,17:15,Raúl F.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-08,17:15,Laura L.,1
cuadriculas/G01_bloques_1.xlsx,2026-09-08,21:00,Gonzalo F.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-08,10:45,Lucía M.,1
cuadriculas/G01_bloques_1.xlsx,2026-09-08,21:00,Álvaro F.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-09,17:15,Íker G.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-09,21:00,Nuria F.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-09,10:45,Javier G.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-09,21:00,Hugo G.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-09,10:45,Raquel F.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-09,21:00,Nerea F.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-09,17:15,Javier F.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-09,21:00,Nerea F.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-10,10:45,Laura F.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-10,17:15,Víctor M.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-10,21:00,Nerea G.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-10,10:45,Adrián G.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-10,17:15,Claudia L.,1
cuadriculas/G01_bloques_1.xlsx,2026-09-10,17:15,Sergio L.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-10,21:00,Víctor M.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-10,10:45,Íker L.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-10,21:00,Lucía F.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-11,17:15,Nerea G.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-11,10:45,Óscar F.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-11,17:15,Bruno F.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-11,21:00,Andrea L.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-12,10:45,Mario G.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-12,17:15,Marcos F.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-12,10:45,Marta L.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-12,17:15,Paula M.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-12,17:15,Laura M.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-12,21:00,Víctor G.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-12,10:45,Tomás M.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-12,17:15,Víctor F.,0
cuadriculas/G01_bloques_1.xlsx,2026-09-12,21:00,Sofía G.,0
cuadriculas/G02_semana_1.xlsx,2026-09-07,09:00,Sara F.,0
cuadriculas/G02_semana_1.xlsx,2026-09-07,09:00,Jorge M.,0
cuadriculas/G02_semana_1.xlsx,2026-09-08,09:00,Carla G.,0
cuadriculas/G02_semana_1.xlsx,2026-09-08,09:00,Noelia M.,0
cuadriculas/G02_semana_1.xlsx,2026-09-10,09:00,Marta F.,0
cuadriculas/G02_semana_1.xlsx,2026-09-10,09:00,Nuria M.,1
