Full name,Phone,E-mail,Join date,Monthly fee,Paid (Sep)
Daniel Navarro García,615 638 058,,2026-07-08,65.00,TRUE
Óscar Ramos Gómez,707-192-977,oscar.ramos18@yahoo.es,2026-08-25,55.00,TRUE
Carla Romero Hernández,727-794-070,carla.romero98@outlook.es,2026-02-04,65.00,TRUE
Nerea Fernández Pérez,792159551,nerea.fernandez4@gmail.com,2026-04-09,35.00,FALSE
Daniel Ramos Muñoz,635-182-809,,2026-05-31,55.00,TRUE
Pablo Vázquez Serrano,+34 730 53 02 98,pablo.vazquez55@outlook.es,2026-02-11,60.00,FALSE
Javier Vázquez Blanco,756 318 966,javier.vazquez94@yahoo.es,2026-02-04,45.00,FALSE
Raúl Moreno Ruiz,764-665-764,raul.moreno74@outlook.es,2026-07-11,45.00,TRUE
Mario Gil Serrano,794 483 976,mario.gil16@gmail.com,2026-02-17,45.00,TRUE
Sergio Domínguez Gil,788858403,sergio.dominguez62@hotmail.com,2026-07-25,50.00,TRUE
Raúl Gómez Blanco,631-886-504,raul.gomez5@yahoo.es,2026-01-08,65.00,TRUE
Víctor Moreno Ortiz,660-129-819,,2026-03-27,35.00,TRUE
Marcos Ortiz Muñoz,+34 759 75 66 62,marcos.ortiz7@gmail.com,2026-03-26,45.00,FALSE
Paula Pérez Fernández,+34 677 60 10 27,paula.perez27@outlook.es,2026-02-17,35.00,FALSE
Paula Blanco Torres,664679405,paula.blanco34@gmail.com,2026-06-11,35.00,FALSE
Diego Ramos Ramos,711-090-903,diego.ramos92@outlook.es,2026-04-05,60.00,TRUE
Noelia Gil Hernández,626 390 748,noelia.gil59@yahoo.es,2026-04-03,55.00,TRUE
